experiment,fold,class,precision,recall,f1_score
drive_global_arm_kfold,2,6,0.8259109311740891,0.9488372093023256,0.8831168831168831
drive_global_arm_kfold,3,0,0.5498721227621484,0.7651245551601423,0.6398809523809524
drive_global_arm_kfold,3,1,0.0,0.0,0.0
drive_global_arm_kfold,3,2,0.8055555555555556,0.27358490566037735,0.40845070422535207
drive_global_arm_kfold,3,3,0.5777777777777777,0.3466666666666667,0.4333333333333333
drive_global_arm_kfold,3,4,1.0,0.06451612903225806,0.12121212121212122
drive_global_arm_kfold,3,5,0.34782608695652173,0.2857142857142857,0.3137254901960784
drive_global_arm_kfold,3,6,0.3935018050541516,0.5706806282722513,0.4658119658119658
drive_global_arm_kfold,4,0,0.8283828382838284,0.8122977346278317,0.8202614379084967
drive_global_arm_kfold,4,1,0.6111111111111112,0.3142857142857143,0.41509433962264153
drive_global_arm_kfold,4,2,0.6736842105263158,0.6808510638297872,0.6772486772486772
drive_global_arm_kfold,4,3,0.8518518518518519,0.7340425531914894,0.7885714285714285
drive_global_arm_kfold,4,4,0.8571428571428571,0.7368421052631579,0.7924528301886793
drive_global_arm_kfold,4,5,0.7931034482758621,0.6388888888888888,0.7076923076923076
drive_global_arm_kfold,4,6,0.6534653465346535,0.868421052631579,0.7457627118644069
drive_global_leg_kfold,0,0,0.7678018575851393,0.8953068592057761,0.8266666666666667
drive_global_leg_kfold,0,1,1.0,0.030303030303030304,0.05882352941176471
drive_global_leg_kfold,0,2,0.9555555555555556,0.8775510204081632,0.9148936170212767
drive_global_leg_kfold,0,3,0.7752808988764045,0.8117647058823529,0.793103448275862
drive_global_leg_kfold,0,4,0.7361111111111112,0.7794117647058824,0.7571428571428572
drive_global_leg_kfold,0,5,0.8108108108108109,0.8108108108108109,0.8108108108108109
drive_global_leg_kfold,0,6,0.8292682926829268,0.7640449438202247,0.7953216374269005
drive_global_leg_kfold,1,0,0.7387096774193549,0.7633333333333333,0.7508196721311476
drive_global_leg_kfold,1,1,0.0,0.0,0.0
drive_global_leg_kfold,1,2,0.78125,0.28735632183908044,0.42016806722689076
drive_global_leg_kfold,1,3,0.35251798561151076,0.5833333333333334,0.43946188340807174
drive_global_leg_kfold,1,4,0.7407407407407407,0.32786885245901637,0.45454545454545453
drive_global_leg_kfold,1,5,0.2727272727272727,0.42857142857142855,0.33333333333333326
drive_global_leg_kfold,1,6,0.4642857142857143,0.5621621621621622,0.508557457212714
drive_global_leg_kfold,2,0,0.4282700421940928,0.7490774907749077,0.5449664429530201
drive_global_leg_kfold,2,1,0.0,0.0,0.0
drive_global_leg_kfold,2,2,0.41935483870967744,0.13,0.19847328244274812
drive_global_leg_kfold,2,3,0.34615384615384615,0.18181818181818182,0.23841059602649012
drive_global_leg_kfold,2,4,0.25,0.07547169811320754,0.11594202898550725
drive_global_leg_kfold,2,5,0.38095238095238093,0.32,0.34782608695652173
drive_global_leg_kfold,2,6,0.4065934065934066,0.37948717948717947,0.3925729442970822
drive_global_leg_kfold,3,0,0.7282608695652174,0.730909090909091,0.7295825771324865
drive_global_leg_kfold,3,1,0.0,0.0,0.0
